Platform,Category,Platform type,Scope,Oslo relevance,Language,Ad origin,Best for,Priority,Status,Likely fit,Notes,Listings URL,Source URL,Verified date,Confidence,Acquisition tier,Feed URL
Forsvaret – ledige stillinger,Public sector,Employer network / public portal,Norway,Medium,Norwegian,Original employer ads,Civilian and military defence roles,3 Niche,Verified active,Low,"Some roles have citizenship, clearance, fitness or location constraints.",https://www.forsvaret.no/jobb/ledige-stillinger,https://www.forsvaret.no/jobb/ledige-stillinger,2026-08-05,High,,
Politiet – ledige stillinger,Public sector,Employer network / public portal,Norway,High,Norwegian,Original employer ads,"Police, civilian IT, administration and specialist roles",3 Niche,Verified active,Medium,Listings are also commonly mirrored to Arbeidsplassen.,https://www.politiet.no/om-politiet/jobb-i-politiet/ledige-stillinger/,https://www.politiet.no/om-politiet/jobb-i-politiet/ledige-stillinger/,2026-08-05,High,,
The Hub,Tech / startup,Startup job board,Nordics incl. Norway,High,Mostly English,Mostly original,"Startups, product, customer success, sales, tech",1 Core,Verified active,High,Primary Nordic startup board; absorbed Startupmatcher.,https://thehub.io/jobs?countryCode=NO,https://thehub.io/jobs?countryCode=NO,2026-08-05,High,,
StartupLab Jobs,Tech / startup,Startup ecosystem job board,Norway / Oslo,High,English + Norwegian,Original member-company ads,Oslo startups and scaleups,1 Core,Verified active,High,Strong local startup ecosystem source.,https://jobs.startuplab.no/,https://jobs.startuplab.no/,2026-08-05,High,,
Kodejobb,Tech / startup,Developer job board,Norway,High,Norwegian,Mostly original,Software development and engineering,2 Supplemental,Verified active,High,Developer-focused Norwegian board.,https://kodejobb.no/,https://kodejobb.no/,2026-08-05,High,,
Tekjobb,Tech / startup,Engineering / technology job board,Norway,High,Norwegian,Mostly original,"Technology, engineering and IT",2 Supplemental,Verified active,High,Operated in the TU Media ecosystem.,https://www.tekjobb.no/,https://www.tekjobb.no/,2026-08-05,High,,
Startup.jobs Norway,Tech / startup,Global startup job board,Norway filter,Medium,English,Mixed,Startup roles not captured by Nordic boards,3 Niche,Verified active,Medium,Supplementary global startup source.,https://startup.jobs/locations/norway,https://startup.jobs/locations/norway,2026-08-05,High,,
StartupMap Oslo,Tech / startup,Ecosystem directory / jobs,Oslo,High,English,Mixed,Discovering Oslo startups and openings,3 Niche,Verified active,High,Useful for company discovery even when jobs are linked externally.,https://startupmap.no/,https://startupmap.no/,2026-08-05,Medium,,
NordicTechJobs Norway,Tech / startup,Tech job board,Norway / Nordics,Medium,English,Mostly original,Software and tech roles,3 Niche,Verified active,High,Nordic-specific technology listings.,https://nordictechjobs.com/jobs/norway,https://nordictechjobs.com/jobs/norway,2026-08-05,High,,
Wellfound,Tech / startup,Startup talent marketplace,Global with Norway filter,Medium,English,Mostly original,Venture-backed startups and remote roles,3 Niche,Verified active,High,Formerly AngelList Talent.,https://wellfound.com/location/norway,https://wellfound.com/location/norway,2026-08-05,High,,
F6S Jobs Norway,Tech / startup,Startup community / job board,Norway filter,Medium,English,Mixed,"Early-stage startups, accelerators",3 Niche,Verified active,Medium,Coverage varies.,https://www.f6s.com/jobs/norway,https://www.f6s.com/jobs/norway,2026-08-05,High,,
MeetFrank Norway,Tech / startup,Job-matching marketplace,Norway,High,English,Mixed,"Tech, product, sales and remote roles",2 Supplemental,Verified active,High,App-first matching and salary-oriented discovery.,https://meetfrank.com/jobs/norway,https://meetfrank.com/jobs/norway,2026-08-05,High,,
Tenth Revolution Group Norway,Tech / startup,Specialist recruiter board,Norway,High,English + Norwegian,Recruiter-owned,"Cloud, data, software and enterprise tech",2 Supplemental,Verified active,High,Specialist technology recruitment brands.,https://www.tenthrevolution.com/no/ledige-stillinger,https://www.tenthrevolution.com/no/ledige-stillinger,2026-08-05,High,,
JobTeaser,Student / graduate,Student and graduate platform,Norway + Europe,High,English + Norwegian,Mixed / institution-linked,"Internships, graduate programmes, early careers",2 Supplemental,Verified active,High,Graduateland has been folded into JobTeaser.,https://www.jobteaser.com/en/job-offers,https://www.jobteaser.com/en/job-offers,2026-08-05,High,,
Academic Work Norway,Student / graduate,Recruiter job board,Norway,High,Norwegian + English,Recruiter-owned,"Early-career tech, administration, service and sales",1 Core,Verified active,High,Often targets students and recent graduates.,https://www.academicwork.no/ledige-stillinger,https://www.academicwork.no/ledige-stillinger,2026-08-05,High,,
StudentConsulting Norway,Student / graduate,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,"Part-time, logistics, service, administration",2 Supplemental,Verified active,High,Useful for entry-level and flexible work.,https://www.studentconsulting.com/no/ledige-stillinger/,https://www.studentconsulting.com/no/ledige-stillinger/,2026-08-05,High,,
UiO Career Opportunities,Student / graduate,University career portal,Oslo / Norway,High,English + Norwegian,Original / partner ads,"Student jobs, internships and graduate opportunities",3 Niche,Verified active,Medium,Especially relevant to UiO students and recent graduates.,https://www.uio.no/english/studies/career/career-opportunities/,https://www.uio.no/english/studies/career/career-opportunities/,2026-08-05,High,,
Nordjobb,Student / graduate,Nordic seasonal-work programme,Nordics incl. Norway,Medium,Scandinavian + English,Programme vacancies,Seasonal work for young Nordic residents,3 Niche,Seasonal / active,Medium,Age and Nordic-language/residency eligibility can apply.,https://www.nordjobb.org/en/,https://www.nordjobb.org/en/,2026-08-05,Medium,,
Utdanningsnytt Stillinger,Education,Sector job board,Norway,High,Norwegian,Mostly original,"Schools, teaching and education administration",3 Niche,Verified active,Low,Specialist source for education roles.,https://www.utdanningsnytt.no/stillinger,https://www.utdanningsnytt.no/stillinger,2026-08-05,High,,
EURAXESS Jobs,Academic / research,Official research job network,Europe incl. Norway,High,English,Original institution ads,"Research, PhD, postdoc and academic mobility",2 Supplemental,Verified active,Medium,Official European research careers portal.,https://euraxess.ec.europa.eu/jobs/search,https://euraxess.ec.europa.eu/jobs/search,2026-08-05,High,,
Academic Positions Norway,Academic / research,Academic job board,Norway filter,High,English,Mostly original,"PhD, postdoc, faculty and research",2 Supplemental,Verified active,Medium,Good international-facing academic coverage.,https://academicpositions.com/jobs/country/norway,https://academicpositions.com/jobs/country/norway,2026-08-05,High,,
University Positions Norway,Academic / research,Academic job board,Norway,High,English + Norwegian,Mostly original,University and research vacancies,3 Niche,Verified active,Medium,Dedicated Norwegian academic portal.,https://universitypositions.no/,https://universitypositions.no/,2026-08-05,High,,
Khrono Stillinger,Academic / research,Sector job board,Norway,High,Norwegian,Mostly original,"Universities, colleges, research and administration",2 Supplemental,Verified active,Medium,"Covers academic, technical, administrative and communications roles.",https://stilling.khrono.no/,https://stilling.khrono.no/,2026-08-05,High,,
Adecco Norway,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian + English,Recruiter-owned,"Warehouse, service, office, hospitality, industry",1 Core,Verified active,High,Large general staffing agency.,https://www.adecco.com/nb-no/ledige-stillinger,https://www.adecco.com/nb-no,2026-08-05,High,,
Manpower Norway,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,"Office, customer service, logistics, tech and temporary work",1 Core,Verified active,High,Large general staffing agency.,https://www.manpower.no/nb/sok,https://www.manpower.no/nb/sok,2026-08-05,High,,
Randstad Norway,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian + English,Recruiter-owned,"Office, finance, tech, logistics, service",1 Core,Verified active,High,Large recruiter with Oslo coverage.,https://www.randstad.no/ledige-stillinger/,https://www.randstad.no/ledige-stillinger/,2026-08-05,High,,
Jobzone,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,Broad local staffing and permanent roles,1 Core,Verified active,High,More than 30 local offices and broad sector coverage.,https://jobzone.no/ledige-stillinger,https://jobzone.no/,2026-08-05,High,,
Personalhuset,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,"Service, office, sales, logistics and professional roles",2 Supplemental,Verified active,High,National staffing and recruitment provider.,https://www.personalhuset.no/ledige-stillinger,https://www.personalhuset.no/,2026-08-05,High,,
Temp-Team Norway,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,Temporary and permanent work across sectors,2 Supplemental,Verified active,High,General staffing board.,https://temp-team.no/ledige-stillinger,https://temp-team.no/ledige-stillinger,2026-08-05,High,,
Eterni,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian + English,Recruiter-owned,"Logistics, production, construction, service",2 Supplemental,Verified active,Medium,Strong in staffing-intensive sectors.,https://eterni.no/ledige-stillinger/,https://eterni.no/ledige-stillinger/,2026-08-05,High,,
Workshop Bemanning,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,"Construction, automotive, industry, warehouse",3 Niche,Verified active,Medium,Many roles are trade-specific.,https://www.workshop.no/ledige-stillinger,https://www.workshop.no/ledige-stillinger,2026-08-05,High,,
Hammer & Hanborg,Staffing / recruitment,Specialist recruiter board,Norway / Nordics,High,Norwegian + English,Recruiter-owned,"Communications, marketing, digital and creative",2 Supplemental,Verified active,High,Relevant to client-facing digital roles.,https://www.hammerhanborg.no/ledige-stillinger,https://www.hammerhanborg.no/ledige-stillinger,2026-08-05,High,,
Jefferson Wells Norway,Staffing / recruitment,Specialist recruiter board,Norway,High,Norwegian + English,Recruiter-owned,"Engineering, finance, management and specialists",3 Niche,Verified active,Medium,Part of the ManpowerGroup ecosystem.,https://www.jeffersonwells.no/nb/sok,https://www.jeffersonwells.no/nb/sok,2026-08-05,High,,
Experis Norway,Staffing / recruitment,Specialist recruiter board,Norway,High,Norwegian + English,Recruiter-owned,"IT, technology and digital consulting",2 Supplemental,Verified active,High,Technology-focused ManpowerGroup brand.,https://www.experis.no/nb/sok,https://www.experis.no/nb/sok,2026-08-05,High,,
Sperton Norway,Staffing / recruitment,Recruiter job board,Norway + global,High,English + Norwegian,Recruiter-owned,"Tech, engineering, sales and international roles",3 Niche,Verified active,High,International recruiter headquartered in Norway.,https://www.sperton.com/jobs/,https://www.sperton.com/jobs/,2026-08-05,High,,
NES Fircroft Norway,Staffing / recruitment,Specialist recruiter board,Norway,Medium,English,Recruiter-owned,"Engineering, energy, IT and technical contracts",3 Niche,Verified active,Medium,Strongest in specialist technical sectors.,https://www.nesfircroft.com/regions/recruitment-in-europe/norway-jobs/,https://www.nesfircroft.com/regions/recruitment-in-europe/norway-jobs/,2026-08-05,High,,
MeyerHaugen,Staffing / recruitment,Recruiter job board,Norway / Oslo,High,Norwegian,Recruiter-owned,"Management, finance, HR, technology and specialists",3 Niche,Verified active,Medium,Oslo-oriented recruitment company.,https://meyerhaugen.no/ledige-stillinger/,https://meyerhaugen.no/ledige-stillinger/,2026-08-05,High,,
Job Norway,Staffing / recruitment,Sector recruiter board,Norway,Medium,English,Recruiter-owned,"Hospitality, tourism and seasonal work",3 Niche,Verified active,Medium,Targets international workers for Norwegian hospitality roles.,https://jobnorway.no/jobs/,https://jobnorway.no/jobs/,2026-08-05,High,,
Toptemp,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,"Sales, service, logistics, office and technical roles",2 Supplemental,Verified active,High,Broad staffing portfolio.,https://www.toptemp.no/ledige-stillinger,https://www.toptemp.no/ledige-stillinger,2026-08-05,Medium,,
Capus,Staffing / recruitment,Recruiter job board,Norway / Oslo,High,Norwegian,Recruiter-owned,"Professional, leadership and specialist roles",3 Niche,Verified active,Medium,Recruitment and executive-search oriented.,https://capus.no/ledige-stillinger/,https://capus.no/ledige-stillinger/,2026-08-05,Medium,,
People,Staffing / recruitment,Recruiter job board,Norway,High,Norwegian,Recruiter-owned,"Retail, sales, service, finance and local staffing",1 Core,Verified active,High,Current listings include Oslo retail and service roles.,https://people.no/ledige-stillinger,https://people.no/ledige-stillinger,2026-08-05,High,,
Dreamwork,Staffing / recruitment,Recruiter job board,Norway / Oslo,High,Norwegian,Recruiter-owned,"Sales, customer service, retail and industrial roles",1 Core,Verified active,High,Direct RecMan vacancy feed is searchable.,https://dreamwork.no/ledige-stillinger/,https://dreamwork.recman.io/,2026-08-05,High,,
Logent Norway,Staffing / recruitment,Sector recruiter / employer board,Norway,High,Norwegian + English,Recruiter-owned,"Warehouse, logistics, production and supply chain",2 Supplemental,Verified active,High,Relevant to stockroom and warehouse searches.,https://logent.no/en/work-at-logent/open-positions-no/,https://logent.no/en/work-at-logent/open-positions-no/,2026-08-05,High,,
Legejobber,Healthcare,Sector job board,Norway,High,Norwegian,Mostly original,Doctors and medical specialists,3 Niche,Verified active,Low,Professional healthcare board.,https://www.legejobber.no/,https://www.legejobber.no/,2026-08-05,High,,
Dagens Medisin Jobb,Healthcare,Sector job board,Norway,High,Norwegian,Mostly original,Healthcare management and clinical roles,3 Niche,Verified active,Low,Medical industry publication’s job section.,https://jobb.dagensmedisin.no/,https://jobb.dagensmedisin.no/,2026-08-05,High,,
Sykepleien Jobb,Healthcare,Sector job board,Norway,High,Norwegian,Mostly original,Nursing and healthcare,3 Niche,Verified active,Low,Nurse-focused board.,https://jobb.sykepleien.no/,https://jobb.sykepleien.no/,2026-08-05,High,,
Vacant Helse,Healthcare,Healthcare staffing board,Norway,Medium,Norwegian,Recruiter-owned,Nursing and care assignments,3 Niche,Verified active,Low,Healthcare staffing assignments.,https://vacant.no/ledige-stillinger/,https://vacant.no/ledige-stillinger/,2026-08-05,High,,
WRK Medic,Healthcare,Healthcare staffing board,Norway,Medium,Norwegian,Recruiter-owned,Healthcare staffing,3 Niche,Verified active,Low,Specialist healthcare recruiter.,https://wrkmedic.no/ledige-stillinger/,https://wrkmedic.no/ledige-stillinger/,2026-08-05,High,,
Eccera Care,Healthcare,Healthcare staffing board,Norway,Medium,Norwegian + Scandinavian,Recruiter-owned,Healthcare and care assignments,3 Niche,Verified active,Low,Current care-staffing brand associated with the former Centric Care area.,https://eccera.com/no/care/,https://eccera.com/no/care/,2026-08-05,Medium,,
Dedicare Norway,Healthcare,Healthcare staffing board,Norway / Scandinavia,Medium,Norwegian + Scandinavian,Recruiter-owned,"Doctors, nurses, psychologists and care roles",3 Niche,Verified active,Low,Cross-Nordic healthcare staffing.,https://www.dedicare.no/jobb/,https://www.dedicare.no/jobb/,2026-08-05,High,,
PacuraMed,Healthcare,Healthcare staffing board,Norway,Medium,Norwegian,Recruiter-owned,Nursing and municipal healthcare assignments,3 Niche,Verified active,Low,Large searchable healthcare assignment pool.,https://pacuramed.no/ledige-stillinger/,https://pacuramed.no/ledige-stillinger/,2026-08-05,High,,
Medflow,Healthcare,Healthcare recruitment portal,Norway,Medium,Norwegian,Recruiter-owned,Doctors and healthcare professionals,3 Niche,Verified active,Low,Specialist medical recruitment.,https://medflow.no/ledige-stillinger,https://medflow.no/ledige-stillinger,2026-08-05,High,,
MediCarrera Norway,Healthcare,International healthcare recruiter,Norway / Europe,Low,English,Recruiter-owned,International medical professionals moving to Norway,3 Niche,Verified active,Low,Often includes relocation and language requirements.,https://medicarrera.com/jobs-in-norway/,https://medicarrera.com/jobs-in-norway/,2026-08-05,High,,
Helse Midt-Norge – ledige stillinger,Healthcare,Regional employer network,Central Norway,Low,Norwegian,Original employer ads,Hospital and regional health roles,3 Niche,Verified active,Low,"Regional, not Oslo-focused.",https://www.helse-midt.no/om-oss/om-oss-oversikt/ledige-stillinger/,https://www.helse-midt.no/om-oss/om-oss-oversikt/ledige-stillinger/,2026-08-05,High,,
Helse Nord – ledige stillinger,Healthcare,Regional employer network,Northern Norway,Low,Norwegian,Original employer ads,Hospital and regional health roles,3 Niche,Verified active,Low,"Regional, not Oslo-focused.",https://www.helse-nord.no/om-oss/ledige-stillinger/,https://www.helse-nord.no/om-oss/ledige-stillinger/,2026-08-05,High,,
Kampanje Jobb,Media / communications,Sector job board,Norway,High,Norwegian,Mostly original,"Marketing, advertising, communication and media",2 Supplemental,Verified active,High,Strong specialist board for commercial communication roles.,https://kampanje.com/jobb/,https://kampanje.com/jobb/,2026-08-05,High,,
Stilling M24,Media / communications,Sector job board,Norway,High,Norwegian,Mostly original,"Media, journalism and communications",3 Niche,Active; may be sparse,Medium,Operated by Medier24.,https://stilling.m24.no/,https://stilling.m24.no/,2026-08-05,High,,
Mediejobb / Journalisten,Media / communications,Sector job board,Norway,High,Norwegian,Mostly original,Journalism and editorial media,3 Niche,Verified active,Medium,Journalist-focused vacancies.,https://www.mediejobb.no/,https://www.mediejobb.no/,2026-08-05,High,,
Arkitektur – ledige stillinger,Architecture / design,Sector job board,Norway,High,Norwegian,Mostly original,"Architecture, landscape, BIM and urban design",3 Niche,Verified active,Low,Current listings include Oslo architecture roles.,https://www.arkitektur.no/ledige-stillinger/,https://www.arkitektur.no/ledige-stillinger/,2026-08-05,High,,
Dezeen Jobs – Oslo,Architecture / design,Global design job board,Oslo filter,High,English,Mostly original,Architecture and design,3 Niche,Active; sometimes zero listings,Low,Dedicated Oslo location page but volume can be sparse.,https://www.dezeenjobs.com/location/oslo/,https://www.dezeenjobs.com/location/oslo/,2026-08-05,High,,
Scenekunst.no Stillingsannonser,Culture / arts,Sector vacancy board,Norway,High,Norwegian,Mostly original,"Theatre, dance, production and venue roles",3 Niche,Verified active,Medium,Includes front-of-house and technical positions as well as artistic roles.,https://scenekunst.no/stillingsannonser,https://scenekunst.no/stillingsannonser,2026-08-05,High,,
Advokatjobb,Legal / finance,Sector job board,Norway,High,Norwegian,Mostly original,Law firms and legal roles,3 Niche,Verified active,Low,Legal specialist board.,https://advokatjobb.no/,https://advokatjobb.no/,2026-08-05,High,,
Rett24 Stillinger,Legal / finance,Sector job board,Norway,High,Norwegian,Mostly original,Legal and justice-sector roles,3 Niche,Verified active,Low,Legal news publication’s vacancy section.,https://rett24.no/stillinger,https://rett24.no/stillinger,2026-08-05,High,,
eFinancialCareers Norway,Legal / finance,Global finance job board,Norway filter,High,English,Mostly original,"Banking, finance, fintech and risk",3 Niche,Verified active,Medium,International finance-focused source.,https://www.efinancialcareers.no/,https://www.efinancialcareers.no/,2026-08-05,High,,
ACCA Careers Norway,Legal / finance,Global accounting job board,Norway filter,Medium,English,Mostly original,"Accounting, audit and finance",3 Niche,Verified active,Low,Specialist accounting source.,https://jobs.accaglobal.com/jobs/norway/,https://jobs.accaglobal.com/jobs/norway/,2026-08-05,High,,
Impactpool Norway,Impact / NGO,International impact job board,Norway filter + global,High,English,Mostly original,"UN, NGO, humanitarian and international organisations",3 Niche,Verified active,Medium,Useful for organisations headquartered in Oslo and remote/international roles.,https://www.impactpool.org/search,https://www.impactpool.org/search,2026-08-05,High,,
DevelopmentAid Norway,Impact / NGO,International development job board,Norway filter,Medium,English,Mostly original,"Aid, development and consultancy roles",3 Niche,Verified active,Medium,Specialist development-sector coverage.,https://www.developmentaid.org/jobs-in-norway,https://www.developmentaid.org/jobs-in-norway,2026-08-05,High,,
Probably Good,Impact / NGO,Impact job board,Global / remote,Medium,English,Mostly original,Climate and social-impact work,3 Niche,Verified active,Medium,Use Norway/Europe/remote filters where available.,https://probablygood.org/jobs,https://probablygood.org/jobs,2026-08-05,High,,
The Impact Job,Impact / NGO,Impact job board,Europe / remote,Medium,English,Mostly original,Sustainability and purpose-led roles,3 Niche,Verified active,Medium,Supplementary European impact board.,https://theimpactjob.com/,https://theimpactjob.com/,2026-08-05,High,,
Rigzone Norway,Engineering / energy,Global energy job board,Norway filter,Low,English,Mostly original,"Oil, gas, offshore and engineering",3 Niche,Verified active,Low,"More relevant outside Oslo, but some corporate and engineering roles appear.",https://www.rigzone.com/oil/jobs/search/?fl=Norway,https://www.rigzone.com/oil/jobs/search/?fl=Norway,2026-08-05,High,,
Energy Jobline Norway,Engineering / energy,Global energy job board,Norway filter,Medium,English,Mixed,"Energy, renewables and engineering",3 Niche,Verified active,Medium,Check original employer listing.,https://www.energyjobline.com/jobs/norway,https://www.energyjobline.com/jobs/norway,2026-08-05,High,,
Omega 365 Jobs,Engineering / energy,Consulting assignment portal,Norway + international,Medium,English + Norwegian,Original assignments,"Engineering, energy, project and data consulting",3 Niche,Verified active,Medium,Recurring Norwegian consultant assignments.,https://omega365.com/jobs,https://omega365.com/jobs,2026-08-05,High,,
Remote Rocketship Norway,Remote / global,Remote-job aggregator,Remote from Norway,High,English,Mostly aggregated,"Remote tech, support, marketing and consulting",2 Supplemental,Verified active,High,Dedicated Norway remote filter.,https://www.remoterocketship.com/country/norway/,https://www.remoterocketship.com/country/norway/,2026-08-05,High,,
Jobgether Norway,Remote / global,Remote-job aggregator,Remote / Norway,High,English,Mostly aggregated,Remote professional and technology roles,3 Niche,Verified active,High,Check geographic hiring eligibility carefully.,https://jobgether.com/remote-jobs/norway,https://jobgether.com/remote-jobs/norway,2026-08-05,High,,
EU Remote Jobs,Remote / global,Remote job board,Europe incl. Norway,High,English,Mostly original,Europe-compatible remote work,2 Supplemental,Verified active,High,Better geographic fit than US-only remote boards.,https://euremotejobs.com/,https://euremotejobs.com/,2026-08-05,High,,
We Work Remotely,Remote / global,Remote job board,Global,Medium,English,Mostly original,"Remote tech, product, support and sales",3 Niche,Verified active,High,Confirm that the employer can hire in Norway.,https://weworkremotely.com/,https://weworkremotely.com/,2026-08-05,High,,
NoDesk,Remote / global,Remote job board,Global,Medium,English,Mostly original,Remote startups and digital work,3 Niche,Verified active,High,Confirm Norway eligibility.,https://nodesk.co/remote-jobs/,https://nodesk.co/remote-jobs/,2026-08-05,High,,
Arc Remote Jobs Norway,Remote / global,Tech talent marketplace,Remote / Norway,High,English,Marketplace listings,Remote software and technical work,3 Niche,Verified active,High,Developer-heavy and often experience-sensitive.,https://arc.dev/remote-jobs/norway,https://arc.dev/remote-jobs/norway,2026-08-05,High,,
Faruse Norway,Oslo / international,English-language aggregator,Norway,Medium,English,Mostly aggregated,English-speaking roles and internships,3 Niche,Active; lower confidence,Medium,Use as a supplementary lead source and verify originals.,https://faruse.com/english-speaking/jobs/norway,https://faruse.com/english-speaking/jobs/norway,2026-08-05,Medium,,
Right People Group Norway,Freelance / consulting,Consultant assignment marketplace,Norway / Oslo,High,English + Norwegian,Original client assignments,Independent IT and business consultants,2 Supplemental,Verified active,High,Project-based consulting rather than ordinary employment.,https://rightpeoplegroup.com/no/find-consulting-projects/,https://rightpeoplegroup.com/no/find-consulting-projects/,2026-08-05,High,,
